,Area,Item,Year,Value
11593,Bangladesh,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.7
11600,Bangladesh,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.5
12544,Barbados,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,31.1
12551,Barbados,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,26.6
12558,Barbados,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,35.6
13403,Belarus,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
13410,Belarus,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
13417,Belarus,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
14346,Belgium,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.8
14353,Belgium,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.2
14360,Belgium,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.5
15258,Belize,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,45.5
15265,Belize,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,41.6
15272,Belize,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,49.4
16146,Benin,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,73.6
16153,Benin,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,71.7
16160,Benin,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,75.5
16987,Bermuda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
16994,Bermuda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
17001,Bermuda,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
17471,Bhutan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
17478,Bhutan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
17485,Bhutan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
18336,Bolivia (Plurinational State of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
18343,Bolivia (Plurinational State of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
18350,Bolivia (Plurinational State of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
19268,Bosnia and Herzegovina,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.4
19275,Bosnia and Herzegovina,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.1
19282,Bosnia and Herzegovina,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.7
20199,Botswana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,56.3
20206,Botswana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,52.7
20213,Botswana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,60
21084,Brazil,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,32.8
21091,Brazil,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.5
21098,Brazil,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.1
21960,Brunei Darussalam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
21967,Brunei Darussalam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
21974,Brunei Darussalam,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
22805,Bulgaria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.8
22812,Bulgaria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12.5
22819,Bulgaria,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,19
23748,Burkina Faso,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,56.9
23755,Burkina Faso,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,54
23762,Burkina Faso,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,59.8
24603,Burundi,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
24610,Burundi,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
24617,Burundi,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
25450,Cabo Verde,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37
25457,Cabo Verde,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,32.8
25464,Cabo Verde,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,41.2
26243,Cambodia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,51.1
26250,Cambodia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,48.1
26257,Cambodia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,54.2
27177,Cameroon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.5
27184,Cameroon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,53.6
27191,Cameroon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,63.4
28077,Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.7
28084,Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.5
28091,Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.9
28950,Central African Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,81.3
28957,Central African Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,78
28964,Central African Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,84.6
29884,Chad,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
29891,Chad,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
29898,Chad,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
30792,Chile,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,18.1
30799,Chile,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.3
30806,Chile,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,19.9
31729,China,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
31736,China,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
31743,China,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
32498,"China, Hong Kong SAR",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
32505,"China, Hong Kong SAR",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
32512,"China, Hong Kong SAR",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
33209,"China, Macao SAR",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
33216,"China, Macao SAR",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
33223,"China, Macao SAR",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
33906,"China, mainland",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
33913,"China, mainland",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
33920,"China, mainland",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
34490,"China, Taiwan Province of",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
34497,"China, Taiwan Province of",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
34504,"China, Taiwan Province of",Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
35136,Colombia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
35143,Colombia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
35150,Colombia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
36042,Comoros,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,79.7
36049,Comoros,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,74.7
36056,Comoros,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,84.7
36901,Congo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,88.2
36908,Congo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,86
36915,Congo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,90.3
37708,Cook Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
37715,Cook Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
37722,Cook Islands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
38308,Costa Rica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.2
38315,Costa Rica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.5
38322,Costa Rica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,16.9
39255,Côte d'Ivoire,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,44.2
39262,Côte d'Ivoire,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,42.3
39269,Côte d'Ivoire,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,46
40189,Croatia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.7
40196,Croatia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.9
40203,Croatia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.5
40976,Cuba,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
40983,Cuba,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
40990,Cuba,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
41881,Cyprus,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
41888,Cyprus,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
41895,Cyprus,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
42687,Czechia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.5
42694,Czechia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7
42701,Czechia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10
43586,Democratic People's Republic of Korea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
43593,Democratic People's Republic of Korea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
43600,Democratic People's Republic of Korea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
44451,Democratic Republic of the Congo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,76.6
44458,Democratic Republic of the Congo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,74.6
44465,Democratic Republic of the Congo,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,78.7
45371,Denmark,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.8
45378,Denmark,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5
45385,Denmark,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.6
46189,Djibouti,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,49.2
46196,Djibouti,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,43.2
46203,Djibouti,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,55.2
47053,Dominica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
47060,Dominica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
47067,Dominica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
47780,Dominican Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,52.1
47787,Dominican Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,48.5
47794,Dominican Republic,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,55.7
48678,Ecuador,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.3
48685,Ecuador,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,34
48692,Ecuador,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.6
49622,Egypt,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.5
49629,Egypt,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,25.9
49636,Egypt,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,31.1
50495,El Salvador,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,48.4
50502,El Salvador,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,44.8
50509,El Salvador,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,52
51303,Equatorial Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
51310,Equatorial Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
51317,Equatorial Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
51964,Eritrea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
51971,Eritrea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
51978,Eritrea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
52796,Estonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.5
52803,Estonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.3
52810,Estonia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11.7
53727,Eswatini,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,67
53734,Eswatini,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62.1
53741,Eswatini,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,71.9
54622,Ethiopia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.1
54629,Ethiopia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,53.8
54636,Ethiopia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62.4
55517,Fiji,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,24.2
55524,Fiji,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,19.5
55531,Fiji,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,28.9
56422,Finland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,10.5
56429,Finland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.5
56436,Finland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,14.5
57269,France,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.6
57276,France,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.5
57283,France,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.7
58074,French Polynesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
58081,French Polynesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
58088,French Polynesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
58753,Gabon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
58760,Gabon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
58767,Gabon,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
59639,Gambia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,60.7
59646,Gambia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,57.9
59653,Gambia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,63.6
60600,Georgia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,36.5
60607,Georgia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,33.6
60614,Georgia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39.5
61550,Germany,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.8
61557,Germany,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,2.4
61564,Germany,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.3
62479,Ghana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,39.4
62486,Ghana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.5
62493,Ghana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,41.4
63438,Greece,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.3
63445,Greece,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.8
63452,Greece,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.7
64259,Greenland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
64266,Greenland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
64273,Greenland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
64752,Grenada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,21.1
64759,Grenada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.4
64766,Grenada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,26.8
65488,Guatemala,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,59.8
65495,Guatemala,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,56.9
65502,Guatemala,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,62.7
66400,Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,73.1
66407,Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,69.6
66414,Guinea,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,76.6
67251,Guinea-Bissau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,77.8
67258,Guinea-Bissau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,74.8
67265,Guinea-Bissau,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,80.9
68180,Guyana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
68187,Guyana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
68194,Guyana,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
69072,Haiti,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,82.6
69079,Haiti,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,77.9
69086,Haiti,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,87.4
69920,Honduras,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,56.1
69927,Honduras,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,53.7
69934,Honduras,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,58.4
70852,Hungary,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,12.6
70859,Hungary,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,9.9
70866,Hungary,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.4
71679,Iceland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.1
71686,Iceland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.1
71693,Iceland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,8.2
72499,India,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
72506,India,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
72513,India,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
73425,Indonesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.9
73432,Indonesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.8
73439,Indonesia,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6
74342,Iran (Islamic Republic of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,40.8
74349,Iran (Islamic Republic of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,37.4
74356,Iran (Islamic Republic of),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,44.2
75218,Iraq,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
75225,Iraq,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
75232,Iraq,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,
76171,Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.4
76178,Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.3
76185,Ireland,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,6.5
76999,Israel,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,13.2
77006,Israel,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,11
77013,Israel,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,15.5
77847,Italy,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,5.7
77854,Italy,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.1
77861,Italy,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,7.3
78674,Jamaica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,54.4
78681,Jamaica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,49.6
78688,Jamaica,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,59.1
79580,Japan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,4.4
79587,Japan,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2020-2022,3.2
